Uniprot Accession;Description;Gene name;IBAQ Amount in Ref2824 , fmol/ug yeast protein;Abundance Ratio: (S1) / (Ref2824);Abundance Ratio: (S2) / (Ref2824);Abundance Ratio: (S3) / (Ref2824);Abundance Ratio: (S4) / (Ref2824);Abundance Ratio: (S5) / (Ref2824);Abundance Ratio: (S6) / (Ref2824);Sequence Coverage [%];Identified Peptides;PSMs;Identified Unique Peptides;MW [kDa]
P09436;Isoleucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILS1 PE=1 SV=1;ILS1;5,70E+00;1,248;1,234;1,195;1,145;1,181;1,201;49;44;104;44;122,9
P19358;S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM2 PE=1 SV=3;SAM2;3,79E+01;3,914;4,374;4,23;1,653;1,817;1,734;51;17;103;6;42,2
P0C2I6;Transposon Ty1-LR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-LR3 PE=3 SV=1;TY1B-LR3;;0,48;0,492;0,533;0,561;0,66;0,546;36;50;103;1;198,3
P06634;ATP-dependent RNA helicase DED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED1 PE=1 SV=2;DED1;7,45E+00;0,862;0,878;0,871;0,931;0,924;0,927;54;25;103;20;65,5
P33892;eIF-2-alpha kinase activator GCN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN1 PE=1 SV=1;GCN1;1,79E+00;0,814;0,806;0,838;0,875;0,882;0,888;25;66;101;66;296,5
Q92393;Transposon Ty1-OR Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-OR PE=3 SV=1;TY1B-OR;;8,947;8,77;9,644;9,623;10,816;9,925;37;51;100;2;198,4
P25694;Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC48 PE=1 SV=3;CDC48;7,58E+00;1,561;1,562;1,548;1,648;1,652;1,646;48;32;99;32;91,9
P03965;Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA2 PE=1 SV=1;CPA2;7,07E+00;1,315;1,299;1,338;0,384;0,352;0,359;39;38;98;35;123,8
P19882;Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP60 PE=1 SV=1;HSP60;2,07E+01;1,884;1,819;1,8;1,905;1,907;1,905;55;28;98;28;60,7
P38972;Phosphoribosylformylglycinamidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE6 PE=1 SV=2;ADE6;2,23E+00;1,883;2,019;1,891;2,389;2,31;2,343;37;42;98;42;148,8
P38249;Eukaryotic translation initiation factor 3 subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPG1 PE=1 SV=1;RPG1;4,18E+00;0,983;1,011;0,959;1,217;1,194;1,202;48;45;98;45;110,3
P38009;Bifunctional purine biosynthesis protein ADE17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE17 PE=1 SV=2;ADE17;1,16E+01;1,735;1,852;1,747;1,908;1,8;1,773;55;24;97;19;65,2
P26637;Leucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC60 PE=1 SV=1;CDC60;2,60E+00;1,93;1,994;1,897;1,776;1,707;1,752;44;40;96;39;124,1
P00950;Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPM1 PE=1 SV=3;GPM1;1,23E+02;2,917;2,56;2,657;2,841;2,481;2,438;54;12;96;12;27,6
O13535;Transposon Ty1-H Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-H PE=3 SV=1;TY1B-H;;6,358;5,069;8,584;5,977;5,787;6,283;32;46;96;1;202,7
P06106;Homocysteine/cysteine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET17 PE=1 SV=3;MET17;3,28E+02;0,587;0,56;0,552;0,097;0,09;0,099;44;16;96;16;48,6
Q05022;rRNA biogenesis protein RRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP5 PE=1 SV=1;RRP5;1,21E+00;1,412;1,448;1,433;1,796;1,738;1,698;34;56;95;56;193
P07244;Bifunctional purine biosynthetic protein ADE5,7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE5,7 PE=1 SV=1;ADE5,7;7,33E+00;1,791;1,863;1,815;2,022;1,873;1,917;50;32;95;32;86
Q99231;Transposon Ty1-DR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-DR3 PE=1 SV=2;TY1B-DR3;;100;100;100;100;100;100;33;47;95;1;198,7
P10964;DNA-directed RNA polymerase I subunit RPA190 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPA190 PE=1 SV=2;RPA190;1,03E+00;1,034;1,067;1,039;1,285;1,267;1,266;41;54;94;53;186,3
P05317;60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2;RPP0;1,43E+02;1,178;1,172;1,101;1,451;1,335;1,324;51;12;94;12;33,7
P38088;Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRS1 PE=1 SV=3;GRS1;5,39E+00;1,527;1,568;1,523;1,633;1,638;1,648;61;36;93;35;78,1
P07806;Valine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAS1 PE=1 SV=2;VAS1;4,28E+00;1,433;1,424;1,399;1,36;1,342;1,405;37;37;92;37;125,7
P0CS90;Heat shock protein SSC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSC1 PE=1 SV=1;SSC1;1,77E+01;1,064;1,064;1,046;1,069;1,071;1,076;52;26;92;26;70,6
P08566;Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO1 PE=1 SV=1;ARO1;4,44E+00;1,824;1,857;1,83;1,17;1,126;1,153;38;49;90;49;174,6
P40069;Importin subunit beta-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP123 PE=1 SV=1;KAP123;6,47E+00;0,87;0,884;0,856;1;0,971;1,003;31;29;89;29;122,5
P40825;Alanine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALA1 PE=1 SV=3;ALA1;6,64E+00;1,385;1,396;1,377;1,336;1,31;1,322;46;42;89;42;110
P38720;6-phosphogluconate dehydrogenase, decarboxylating 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GND1 PE=1 SV=1;GND1;5,30E+01;1,519;1,488;1,437;0,818;0,858;0,864;55;22;87;15;53,5
P0C0W1;40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS22A PE=1 SV=2;RPS22A;9,18E+01;0,817;0,745;0,856;0,943;0,887;0,848;69;8;87;8;14,6
P33442;40S ribosomal protein S1-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS1A PE=1 SV=2;RPS1A;1,39E+02;0,565;0,601;0,552;0,647;0,602;0,631;65;16;86;3;28,7
P00815;Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS4 PE=1 SV=3;HIS4;3,38E+00;2,442;2,345;2,391;1,225;1,175;1,235;45;29;86;29;87,7
P23248;40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS1B PE=1 SV=3;RPS1B;1,38E+02;0,904;0,929;0,915;1,086;1,042;1,064;65;16;86;3;28,8
P10081;ATP-dependent RNA helicase eIF4A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF1 PE=1 SV=3;TIF2.TIF1;3,18E+01;1,773;1,839;1,79;1,868;1,919;1,929;57;17;85;17;44,7
P39954;Adenosylhomocysteinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAH1 PE=1 SV=1;SAH1;1,07E+02;0,696;0,725;0,706;0,986;1,007;0,994;42;17;85;17;49,1
P17967;Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDI1 PE=1 SV=2;PDI1;1,84E+00;4,717;4,375;4,67;4,309;4,505;4,319;47;20;85;20;58,2
P04807;Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK2 PE=1 SV=4;HXK2;3,09E+01;1,738;1,757;1,62;2,078;2,178;2,108;53;19;85;17;53,9
P32327;Pyruvate carboxylase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PYC2 PE=1 SV=2;PYC2;6,12E+00;1,774;1,808;1,778;1,652;1,557;1,587;34;37;84;13;130,1
P07702;L-2-aminoadipate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS2 PE=1 SV=2;LYS2;1,66E+00;2,168;2,169;2,191;0,553;0,539;0,567;43;49;84;49;155,2
P0CX53;60S ribosomal protein L12-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL12A PE=1 SV=1;RPL12A;9,55E+01;1,574;1,537;1,556;1,873;1,8;1,751;67;9;84;9;17,8
P60010;Actin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACT1 PE=1 SV=1;ACT1;3,18E+01;1,929;1,999;1,889;2,208;2,14;2,162;59;15;83;15;41,7
P17076;60S ribosomal protein L8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL8A PE=1 SV=4;RPL8A;6,41E+01;0,653;0,702;0,653;0,734;0,719;0,722;59;15;83;3;28,1
P16140;V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA2 PE=1 SV=2;VMA2;5,51E+00;2,432;2,341;2,322;2,251;2,287;2,279;67;26;83;26;57,7
P38631;1,3-beta-glucan synthase component FKS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FKS1 PE=1 SV=2;FKS1;3,44E+00;0,839;0,822;0,864;0,936;0,913;0,949;26;40;82;23;214,7
P11154;Pyruvate carboxylase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PYC1 PE=1 SV=2;PYC1;6,35E+00;0,827;0,856;0,846;0,452;0,476;0,473;35;36;82;12;130
P04801;Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2;THS1;5,45E+00;1,362;1,404;1,331;1,532;1,525;1,531;44;28;82;28;84,5
P22137;Clathrin heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHC1 PE=1 SV=1;CHC1;1,67E+00;1,426;1,409;1,409;1,522;1,552;1,586;36;47;81;47;187,1
P29453;60S ribosomal protein L8-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL8B PE=1 SV=3;RPL8B;6,99E+01;0,805;0,843;0,773;0,949;0,932;0,946;59;15;80;3;28,1
P07264;3-isopropylmalate dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU1 PE=1 SV=3;LEU1;5,19E+00;1,483;1,401;1,42;0,322;0,296;0,269;48;32;80;32;85,7
P22515;Ubiquitin-activating enzyme E1 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBA1 PE=1 SV=2;UBA1;2,01E+00;1,582;1,555;1,602;1,382;1,414;1,468;37;34;80;34;114,2
P04147;Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAB1 PE=1 SV=4;PAB1;4,89E+00;1,745;1,681;1,712;1,985;1,935;1,95;51;24;80;24;64,3
P47169;Sulfite reductase [NADPH] subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET5 PE=1 SV=1;MET5;9,96E+00;1,809;1,769;1,852;0,204;0,195;0,21;31;38;80;37;161,1
P46655;Glutamate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUS1 PE=1 SV=3;GUS1;9,34E+00;1,287;1,275;1,263;1,309;1,239;1,293;49;35;79;35;80,8
Q08972;[NU+] prion formation protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEW1 PE=1 SV=1;NEW1;6,60E+00;0,908;0,927;0,91;1,045;1,057;1,087;40;44;78;44;134,2
P13188;Glutamine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN4 PE=1 SV=2;GLN4;3,44E+00;0,864;0,882;0,85;0,93;0,93;0,944;49;38;77;38;93,1
Q03558;NADPH dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OYE2 PE=1 SV=3;OYE2;5,65E+00;1,957;1,856;1,794;1,812;1,967;1,881;66;19;77;17;45
P31539;Heat shock protein 104 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP104 PE=1 SV=2;HSP104;1,11E+01;0,76;0,698;0,719;0,754;0,758;0,753;44;38;77;37;102
P11353;Oxygen-dependent coproporphyrinogen-III oxidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM13 PE=1 SV=2;HEM13;6,82E-01;7,471;7,228;6,927;6,384;6,669;6,414;55;15;75;15;37,7
Q03690;Clustered mitochondria protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CLU1 PE=1 SV=1;CLU1;1,63E+00;0,788;0,805;0,767;0,93;0,933;0,946;34;39;75;39;145,1
P32471;Elongation factor 1-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFB1 PE=1 SV=4;EFB1;8,84E+00;2,114;2,153;2,019;2,747;2,644;2,546;62;8;75;8;22,6
P10664;60S ribosomal protein L4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL4A PE=1 SV=4;RPL4A;2,69E+01;35,679;41,399;36,684;40,811;46,118;49,023;55;14;74;1;39,1
P54115;Magnesium-activated aldehyde dehydrogenase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD6 PE=1 SV=4;ALD6;6,41E+01;0,903;1,003;0,995;0,882;0,853;0,873;54;22;73;22;54,4
P22202;Heat shock protein SSA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA4 PE=1 SV=3;SSA4;3,99E+00;1,223;1,243;1,239;1,508;1,548;1,545;35;20;73;11;69,6
P49626;60S ribosomal protein L4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL4B PE=1 SV=2;RPL4B;;21,895;22,812;22,801;21,942;24,049;24,773;55;14;73;1;39
P0CX45;60S ribosomal protein L2-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL2A PE=1 SV=1;RPL2A;1,35E+02;0,737;0,759;0,741;0,841;0,82;0,832;60;12;73;12;27,4
P0CX36;40S ribosomal protein S4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS4B PE=1 SV=1;RPS4B;8,53E+01;1,148;1,046;1,13;1,263;1,232;1,16;50;12;73;12;29,4
P29311;Protein BMH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH1 PE=1 SV=4;BMH1;2,19E+01;4,657;4,647;4,905;4,57;4,626;4,409;69;14;73;4;30,1
Q05911;Adenylosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE13 PE=1 SV=1;ADE13;1,63E+01;1,107;1,155;1,075;1,27;1,297;1,248;39;18;72;18;54,5
P15705;Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STI1 PE=1 SV=1;STI1;4,86E+00;1,351;1,379;1,328;1,503;1,464;1,476;57;31;72;31;66,2
Q12019;Midasin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDN1 PE=1 SV=1;MDN1;2,37E-01;0,682;0,695;0,683;0,788;0,805;0,802;15;66;72;66;559
Q05506;Arginine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR341C PE=1 SV=1;;8,38E+00;0,756;0,753;0,739;0,776;0,803;0,793;50;30;72;29;69,5
P0CX49;60S ribosomal protein L18-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL18A PE=1 SV=1;RPL18A;1,73E+02;0,882;0,875;0,907;1,004;0,993;0,971;51;11;72;11;20,6
