Accession;Description;Coverage_%;Peptides;PSMs;Unique_Peptides;MW_kDa;Rich_1;Rich_2;Rich_3;Min_1;Min_2;Min_3
P00924;Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3;57;26;128;11;46,8;0,877;0,837;0,798;0,826;0,747;0,758
P14540;Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FBA1 PE=1 SV=3;41;12;127;12;39,6;1,231;1,227;1,009;1,224;1,38;1,814
P38720;6-phosphogluconate dehydrogenase, decarboxylating 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GND1 PE=1 SV=1;68;34;125;25;53,5;0,679;0,716;0,677;1,724;1,544;1,286
P33892;eIF-2-alpha kinase activator GCN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN1 PE=1 SV=1;27;74;124;74;296,5;0,938;0,906;0,602;0,846;0,68;0,352
P33442;40S ribosomal protein S1-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS1A PE=1 SV=2;79;29;121;6;28,7;1,442;1,489;1,567;1,354;1,254;1,081
P38249;Eukaryotic translation initiation factor 3 subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPG1 PE=1 SV=1;55;61;121;61;110,3;1,23;1,176;0,887;1,1;0,902;0,681
P03965;Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA2 PE=1 SV=1;41;47;121;44;123,8;0,709;0,723;0,556;1,659;1,498;1,2
P23248;40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS1B PE=1 SV=3;79;29;120;6;28,8;1,867;1,875;2,438;1,679;1,718;1,823
P37291;Serine hydroxymethyltransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM2 PE=1 SV=2;53;28;119;27;52,2;0,699;0,696;0,806;1,296;1,214;1,38
P06105;Protein SCP160 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCP160 PE=1 SV=3;44;66;118;66;134,7;1,209;1,273;1,076;1,023;0,984;1,092
P32589;Heat shock protein homolog SSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSE1 PE=1 SV=4;46;40;113;33;77,3;1,427;1,387;1,087;1,16;1,225;1,177
P07262;NADP-specific glutamate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH1 PE=1 SV=2;68;27;108;18;49,5;0,28;0,289;0,283;0,823;0,776;0,789
P16861;ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK1 PE=1 SV=1;37;43;107;42;107,9;1,5;1,539;1,323;1,494;1,505;1,597
P17255;V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA1 PE=1 SV=3;40;47;107;47;118,6;1,002;0,976;0,93;1,009;1,008;1,202
P00330;Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5;57;21;106;15;36,8;1,102;1,151;1,015;1,699;1,617;1,478
P12709;Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGI1 PE=1 SV=3;50;22;106;22;61,3;0,684;0,674;0,788;0,694;0,62;0,615
P40825;Alanine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALA1 PE=1 SV=3;56;56;106;56;110;1,035;1,017;0,912;1,121;0,993;0,92
P38631;1,3-beta-glucan synthase component FKS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FKS1 PE=1 SV=2;26;41;105;23;214,7;1,225;1,229;0,924;1,076;0,907;0,525
P09436;Isoleucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILS1 PE=1 SV=1;44;48;104;48;122,9;0,924;0,944;0,611;0,945;0,778;0,489
P39954;Adenosylhomocysteinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAH1 PE=1 SV=1;45;25;103;25;49,1;1,042;1,06;1,119;0,876;0,882;0,968
P40069;Importin subunit beta-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP123 PE=1 SV=1;34;36;100;36;122,5;1,253;1,198;0,616;1;0,787;0,39
P00950;Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPM1 PE=1 SV=3;66;20;100;20;27,6;1,343;1,425;1,184;1,296;1,504;1,613
Q12680;Glutamate synthase [NADH] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLT1 PE=1 SV=2;31;59;100;58;238;0,366;0,382;0,342;0,614;0,535;0,499
P00359;Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3;44;20;99;10;35,7;1,628;1,665;1,974;1,986;1,93;2,185
P06168;Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV5 PE=1 SV=1;58;21;99;21;44,3;0,547;0,582;0,52;1,205;1,388;1,461
P06106;Homocysteine/cysteine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET17 PE=1 SV=3;48;19;98;19;48,6;0,048;0,049;0,072;0,645;0,68;0,596
P05317;60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2;54;15;98;15;33,7;1,305;1,28;0,98;1,188;0,968;0,74
P13188;Glutamine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN4 PE=1 SV=2;53;49;95;49;93,1;0,955;0,974;0,814;0,875;0,838;0,821
Q12019;Midasin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDN1 PE=1 SV=1;14;68;95;68;559;0,997;1,002;0,756;0,856;0,755;0,558
P0CS90;Heat shock protein SSC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSC1 PE=1 SV=1;46;36;95;29;70,6;0,987;0,985;1,009;0,839;0,816;0,849
P47169;Sulfite reductase [NADPH] subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET5 PE=1 SV=1;31;45;95;44;161,1;0,086;0,099;0,104;1,689;1,586;1,575
P38088;Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRS1 PE=1 SV=3;59;41;94;40;78,1;1,485;1,498;1,094;1,337;1,354;1,252
P06169;Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7;45;21;93;17;61,5;1,823;1,832;1,706;1,699;1,511;1,714
P15019;Transaldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAL1 PE=1 SV=4;61;25;91;24;37;0,729;0,724;0,537;0,959;0,81;0,574
Q05022;rRNA biogenesis protein RRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP5 PE=1 SV=1;28;54;91;54;193;1,31;1,336;1,181;1,132;1,127;1,119
P54115;Magnesium-activated aldehyde dehydrogenase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD6 PE=1 SV=4;49;29;91;29;54,4;0,985;0,952;0,922;0,964;0,928;1,166
P05755;40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9B PE=1 SV=4;60;18;90;2;22,3;2,15;2,142;2,274;1,797;1,873;1,953
Q05506;Arginine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR341C PE=1 SV=1;56;40;90;39;69,5;1,095;1,117;0,912;0,991;0,829;0,782
P26785;60S ribosomal protein L16-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL16B PE=1 SV=3;66;20;90;12;22,2;2;2,002;3,146;1,915;2,093;2,109
P04801;Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2;48;35;90;35;84,5;1,245;1,245;1,019;0,957;0,918;0,924
P25694;Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC48 PE=1 SV=3;43;39;87;39;91,9;1,459;1,443;1,243;1,197;1,229;1,237
P32582;Cystathionine beta-synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYS4 PE=1 SV=1;61;33;86;33;56;0,886;0,879;0,852;0,659;0,708;0,782
P29453;60S ribosomal protein L8-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL8B PE=1 SV=3;65;24;85;6;28,1;1,881;1,867;2,271;1,64;1,804;1,808
P00830;ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2;50;22;84;22;54,8;0,613;0,613;0,492;0,559;0,441;0,337
O13516;40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9A PE=1 SV=3;60;18;83;2;22,4;1,767;1,781;1,902;1,622;1,754;1,81
P17076;60S ribosomal protein L8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL8A PE=1 SV=4;64;23;83;5;28,1;1,5;1,553;1,617;1,311;1,413;1,353
P18239;ADP,ATP carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET9 PE=1 SV=2;53;19;83;19;34,4;0,477;0,471;0,438;0,41;0,367;0,296
P10964;DNA-directed RNA polymerase I subunit RPA190 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPA190 PE=1 SV=2;33;49;82;48;186,3;1,41;1,467;1,338;1,252;1,175;1,12
P0CX45;60S ribosomal protein L2-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL2A PE=1 SV=1;68;17;80;17;27,4;1,019;1,026;1,61;0,97;1,08;1,297
P39935;Eukaryotic initiation factor 4F subunit p150 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF4631 PE=1 SV=2;39;42;80;39;107;1,145;1,144;0,669;1,021;0,854;0,447
P39730;Eukaryotic translation initiation factor 5B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN12 PE=1 SV=2;29;39;79;39;112,2;1,317;1,356;1,222;1,137;1,067;0,931
P15705;Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STI1 PE=1 SV=1;50;33;79;33;66,2;1,266;1,29;1,063;1,074;1,069;1,02
P19882;Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP60 PE=1 SV=1;54;34;79;34;60,7;1,685;1,728;1,628;1,341;1,303;1,5
P11154;Pyruvate carboxylase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PYC1 PE=1 SV=2;33;39;77;13;130;0,427;0,436;0,39;0,731;0,706;0,791
P07251;ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP1 PE=1 SV=5;53;31;77;31;58,6;0,809;0,84;0,753;0,641;0,746;0,839
P40212;60S ribosomal protein L13-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13B PE=1 SV=1;46;13;77;13;22,5;1,29;1,282;2,076;1,153;1,367;1,775
P48570;Homocitrate synthase, cytosolic isozyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS20 PE=1 SV=1;58;26;77;6;47,1;0,326;0,363;0,335;2,326;2,214;1,907
P07806;Valine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAS1 PE=1 SV=2;32;37;76;37;125,7;1,168;1,189;0,963;1,114;1,028;0,863
P21954;Isocitrate dehydrogenase [NADP], mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDP1 PE=1 SV=1;56;27;76;23;48,2;0,887;0,935;0,86;1,044;1,067;1,08
P06634;ATP-dependent RNA helicase DED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED1 PE=1 SV=2;49;26;76;21;65,5;1,441;1,403;1,496;1,406;1,558;1,733
P09624;Dihydrolipoyl dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LPD1 PE=1 SV=1;64;32;75;32;54;0,479;0,539;0,592;0,497;0,588;0,581
P49167;60S ribosomal protein L38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL38 PE=1 SV=1;54;6;75;6;8,8;2,01;2,032;3,552;1,965;2,208;2,918
P41805;60S ribosomal protein L10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL10 PE=1 SV=1;52;17;75;17;25,3;1,274;1,315;1,94;1,151;1,413;1,692
P31539;Heat shock protein 104 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP104 PE=1 SV=2;36;38;75;37;102;0,57;0,54;0,449;0,528;0,426;0,361
P26784;60S ribosomal protein L16-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL16A PE=1 SV=3;60;17;75;9;22,2;1,786;1,827;2,634;1,744;1,853;1,963
Q12273;Transposon Ty1-OL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-OL PE=3 SV=1;22;39;74;2;198,5;0,325;0,336;0,356;0,388;0,359;0,303
P07264;3-isopropylmalate dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU1 PE=1 SV=3;40;32;73;32;85,7;0,255;0,276;0,307;1,829;2,137;2,357
P08566;Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO1 PE=1 SV=1;30;46;73;46;174,6;0,928;0,967;0,805;1,364;1,326;1,255
P23254;Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TKL1 PE=1 SV=4;27;25;73;23;73,8;0,912;0,941;0,865;1,096;1,009;1,117
P07245;C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE3 PE=1 SV=1;42;34;73;30;102,1;1,098;1,11;1,08;1,596;1,732;1,962
P16862;ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK2 PE=1 SV=4;32;30;72;29;104,6;1,016;0,988;0,914;1;1,064;1,315
P39516;40S ribosomal protein S14-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS14B PE=1 SV=2;66;11;72;11;14,6;2,009;1,988;3,03;1,736;2,083;2,557
Q12122;Homocitrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS21 PE=1 SV=1;57;26;72;6;48,6;0,33;0,32;0,306;0,907;0,847;0,749
P32327;Pyruvate carboxylase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PYC2 PE=1 SV=2;30;36;72;10;130,1;0,925;0,925;0,792;1,068;1,086;1,121
P0C2I9;Transposon Ty1-PR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-PR1 PE=3 SV=1;22;38;72;0;198,4;;;;;;
P19414;Aconitate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO1 PE=1 SV=2;35;32;72;30;85,3;0,662;0,64;0,597;0,769;0,953;1,151
Q08972;[NU+] prion formation protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEW1 PE=1 SV=1;35;44;72;44;134,2;1,027;1,005;0,75;0,975;0,877;0,654
P0CX56;40S ribosomal protein S18-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS18B PE=1 SV=1;70;17;72;17;17;1,242;1,269;1,285;1,163;1,032;1,041
P26637;Leucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC60 PE=1 SV=1;33;34;71;34;124,1;1,382;1,428;1,297;1,568;1,444;1,288
P06103;Eukaryotic translation initiation factor 3 subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRT1 PE=1 SV=1;38;28;71;28;88,1;2,209;2,228;2,143;1,824;1,816;1,757
P0CX49;60S ribosomal protein L18-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL18A PE=1 SV=1;53;13;71;13;20,6;1,295;1,273;1,29;1,189;1,146;0,953
P04807;Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK2 PE=1 SV=4;52;23;71;20;53,9;1,303;1,252;0,924;1,014;0,88;0,718
P32316;Acetyl-CoA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACH1 PE=1 SV=2;40;21;70;21;58,7;0,48;0,483;0,558;0,348;0,382;0,395
P22137;Clathrin heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHC1 PE=1 SV=1;25;38;70;38;187,1;0,806;0,813;0,563;0,75;0,622;0,395
P46655;Glutamate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUS1 PE=1 SV=3;48;35;70;35;80,8;1,063;1,02;1,032;0,995;1,06;1,082
P00942;Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2;54;13;68;13;26,8;0,707;0,747;0,746;0,773;0,791;0,764
P04050;DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO21 PE=1 SV=2;25;37;68;36;191,5;1,158;1,123;0,961;0,966;0,866;0,819
P0CX36;40S ribosomal protein S4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS4B PE=1 SV=1;57;18;68;18;29,4;1,574;1,706;1,755;1,436;1,624;1,82
P0CX53;60S ribosomal protein L12-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL12A PE=1 SV=1;65;10;68;10;17,8;2,055;2,243;1,794;1,543;1,827;2,814
P06208;2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU4 PE=1 SV=1;42;31;67;20;68,4;0,469;0,425;0,711;0,87;1,039;1,222
Q12499;Nucleolar protein 58 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP58 PE=1 SV=1;44;23;67;23;56,9;1,716;1,652;1,06;1,245;1,078;0,821
P25443;40S ribosomal protein S2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS2 PE=1 SV=3;46;15;66;15;27,4;1,318;1,327;1,576;1,212;1,205;1,308
P47100;Transposon Ty1-JR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-JR2 PE=3 SV=3;19;35;66;2;198,5;0,852;0,916;1,098;0,837;0,946;1,046
P05759;Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS31 PE=1 SV=3;58;11;65;6;17,2;1,726;1,608;3,373;1,64;1,9;2,269
P38972;Phosphoribosylformylglycinamidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE6 PE=1 SV=2;25;31;64;31;148,8;1,766;1,71;1,693;1,591;1,431;1,51
P32497;Eukaryotic translation initiation factor 3 subunit C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIP1 PE=1 SV=2;35;31;64;31;93,1;1,207;1,156;0,66;0,891;0,727;0,447
P05737;60S ribosomal protein L7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL7A PE=1 SV=3;58;16;63;1;27,6;1,45;1,267;1,334;1,273;1,597;2,171
P16474;78 kDa glucose-regulated protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAR2 PE=1 SV=1;43;32;63;29;74,4;1,449;1,478;0,951;1,057;0,859;0,491
P00360;Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3;35;12;62;2;35,7;1,583;2,064;2,247;1,513;2,155;3,542
P53221;60S ribosomal protein L26-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL26B PE=1 SV=2;46;12;62;2;14,2;1,374;1,343;2,447;1,351;1,614;2,189
P07280;40S ribosomal protein S19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS19A PE=1 SV=2;59;13;62;13;15,9;1,641;1,659;1,608;1,534;1,423;1,17
P39077;T-complex protein 1 subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT3 PE=1 SV=2;51;30;61;30;58,8;1,522;1,508;0,885;1,013;0,958;0,775
Q12460;Nucleolar protein 56 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP56 PE=1 SV=1;53;26;61;26;56,8;1,649;1,65;1,374;1,504;1,281;1,09
P19358;S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM2 PE=1 SV=3;49;23;61;9;42,2;0,488;0,401;0,313;1,389;1,168;1,175
P38009;Bifunctional purine biosynthesis protein ADE17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE17 PE=1 SV=2;39;23;61;19;65,2;1,088;1,044;1,303;1,148;1,305;2,301
P00958;Methionine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MES1 PE=1 SV=4;39;30;61;30;85,6;1,095;1,074;0,803;0,954;0,849;0,805
P49626;60S ribosomal protein L4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL4B PE=1 SV=2;48;15;61;1;39;3,264;4,027;3,871;3,627;4,008;5,112
P26783;40S ribosomal protein S5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS5 PE=1 SV=3;48;15;61;15;25;1,209;1,219;1,533;1,118;1,103;0,911
P07257;Cytochrome b-c1 complex subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR2 PE=1 SV=1;57;22;61;22;40,5;0,487;0,485;0,501;0,409;0,358;0,357
P49090;Asparagine synthetase [glutamine-hydrolyzing] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASN2 PE=1 SV=2;34;20;61;14;64,6;1,405;1,41;1,267;1,14;1,192;1,28
